90;4;"Then they would play a brief quiz.";
90;5;"The show was responsible for the phrases 'Say the secret woid [word] and divide $100' (that is, each contestant would get $50).";
90;8;"It would run 11 years on television.";CONTROL
91;2;"He was the best-known of modern Brazilian writers, with his work translated into some 30 languages and popularized in film, notably Dona Flor and her Two Husbands in 1978.";
92;3;"In this year, he released his first book, O País do Carnaval.";
93;1;"Marvin Pierce Bush (born October 22, 1956) is the youngest son of George H. W. Bush and Barbara Pierce, and brother of George W., John (Jeb), Neil and Dorothy.";
93;2;"He is named for his maternal grandfather.";CONTROL
828;4;"He became a banker in Boston and was active in the local Democratic Party.";
95;2;"HCC is a publicly traded insurance company on the New York Stock Exchange.";
99;2;"During his seventh-grade school year, Coltrane experienced three deaths in his close-knit family; he lost his aunt, his grandfather, and his father.";
99;3;"Coltrane began playing music and practicing obsessively at about this time.";
101;1;"Though he was active before 1955, his prime years were between 1955 and 1967, during which time he reshaped modern jazz and influenced generations of other musicians.";
101;3;"He passed away from liver disease in his home in Dix Hills, New York.";
105;2;"Jon is known in the NBA because of the courage and determination he shows on defense and in the clutch time.";
105;3;"He is a sharp shooter from the three point range and also a very accurate free throw shooter.";
105;4;"His nickname is Johnny B. Goode.";
482;3;"Shortly afterwards he retired from the Army as a brevet major.";CONTROL
483;1;"In 1874, at the age of 23, Gifford was a Lieutenant in the 2nd Battalion, 24th Foot (later the South Wales Borderers), British Army during the First Ashanti Expedition, when the following deed took place for which he was awarded the Victoria Cross:";
758;1;"James Arlington Wright (December 3, 1927 - March 25, 1980), was an American poet and writer.";
107;3;"He graduated and practiced law in a small firm which folded, then moved on to the firm of Rosenman, Colin, Kaye, Petschek and Freund, which had CBS Records as a client.";
108;4;"In the 1970s, Arista also had an extensive jazz line, most notably its Freedom imprint, concentrating on contemporary, sometimes avant-garde, musicians and widely praised reissues from the legendary Savoy label.";
110;2;"She was seen as a useful conduit for contracting an alliance between Portugal and England, after the treaty of the Pyrenees in 1659 where Portugal was arguably abandoned by France.";
110;3;"Following the restoration of Portuguese independence from Spain, and her father's accession to the throne on December 1, 1640, Catherine was engaged to Charles II.";
110;4;"Charles II married on May 3 or May 21, 1662, in Portsmouth, and her dowry brought Tangier and Bombay to British control.";CONTROL
110;5;"She was not a particularly popular choice of queen, being a Roman Catholic, and her religion prevented her ever being crowned, since she could not take part in an Anglican service.";
110;6;"Despite Charles's reputation as a womaniser, Catherine never gave birth to a live heir, though she had several pregnancies, the last being in 1669.";
110;7;"Her position was a difficult one, as Charles continued to have children by his mistresses, but he insisted that she be treated with respect, and refused to divorce her.";
110;8;"Following his death, Catherine remained in England through the reign of James II of England and returned to Portugal during the joint reign of William III and Mary II.";
110;9;"She died in Lisbon in 1705.";CONTROL
917;1;"Laurance married Mary French in 1934.";
922;1;"Erasmus Darwin (December 12, 1731 – April 18, 1802) trained as a physician and wrote extensively on medicine and botany, as well as poetry.";
110;10;"Catherine introduced, and made fashionable, the custom of drinking tea in England.";
110;11;"She was very popular and loved by the people, and the Queens borough of New York City was named after her.";
112;2;"They had four children: Frederick Dent Grant, Ulysses S. (Buck) Grant, Jr., Ellen (Nellie) Grant, and Jesse Root Grant.";CONTROL
114;3;"Hamer erroneously nominated him as Ulysses Simpson Grant, and although Grant protested the change, it was difficult to resist the bureaucracy.";
114;4;"Upon graduation, Grant adopted the form of his new name with middle initial only, never acknowledging that the 'S' stood for Simpson.";
114;5;"He graduated from West Point in 1843, ranking 21st in a class of 39.";
114;6;"At the academy, he established a reputation as a fearless and expert horseman.";
114;7;"Grant drank distilled liquor and, during the American Civil War, began smoking huge numbers of cigars (one story had it that he smoked over 10,000 in five years) which may well have contributed to his throat cancer of later life.";
115;2;"His father, a tanner, and his mother were born in Pennsylvania.";
118;3;"Kennedy was a member of the prominent Kennedy political family.";
118;4;"Considered the icon of American liberalism, Kennedy is the youngest person ever to be elected president of the country, at the age of 43.";CONTROL
123;3;"During this period, he published Profiles in Courage, highlighting eight instances in which U.S. Senators risked their careers by standing by their personal beliefs.";
124;2;"He was honorably discharged in early 1945, just a few months before the Japanese surrendered.";
126;3;"He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.";
127;2;"However, the U.S. Navy accepted him in September of that year.";
130;2;"By the 1964 election, Reagan was an outspoken supporter of conservative Republican Barry Goldwater.";
130;4;"Though these requests were initially laughed off" by Reagan, he says in his autobiography, he eventually gave in, after countless sleepless nights."";
131;2;"His paternal great-grandfather, Michael Reagan, immigrated to the United States from Ballyporeen, County Tipperary, Ireland in the 1860s.";
131;3;"Prior to his immigration, the family name was spelled Regan.";
131;4;"His maternal great-grandfather, John Wilson, immigrated to the United States from Paisley, Scotland in the early 1800s.";
132;2;"His presidency was marked by new economic policies, dubbed Reaganomics and a confrontational foreign policy towards the Soviet Union and Socialist movements around the world.";
133;4;"Reagan tried repeatedly to go overseas for combat duty, but was turned down because of his astigmatism.";